40,"{'SI': '40', 'BOOK': 'Matthew', 'CHAPTERS': '28', 'VERSES': '1071', 'WORDS': '23343', 'AUTHOR': 'Matthew', 'GENRE': 'Gospel', 'OT/NT': 'NT'}"
41,"{'SI': '41', 'BOOK': 'Mark', 'CHAPTERS': '16', 'VERSES': '678', 'WORDS': '14949', 'AUTHOR': 'Mark', 'GENRE': 'Gospel', 'OT/NT': 'NT'}"
42,"{'SI': '42', 'BOOK': 'Luke', 'CHAPTERS': '24', 'VERSES': '1151', 'WORDS': '25640', 'AUTHOR': 'Luke', 'GENRE': 'Gospel', 'OT/NT': 'NT'}"
43,"{'SI': '43', 'BOOK': 'John', 'CHAPTERS': '21', 'VERSES': '879', 'WORDS': '18658', 'AUTHOR': 'John', 'GENRE': 'Gospel', 'OT/NT': 'NT'}"
44,"{'SI': '44', 'BOOK': 'Acts', 'CHAPTERS': '28', 'VERSES': '1007', 'WORDS': '24229', 'AUTHOR': 'Luke', 'GENRE': 'History', 'OT/NT': 'NT'}"
45,"{'SI': '45', 'BOOK': 'Romans', 'CHAPTERS': '16', 'VERSES': '433', 'WORDS': '9422', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
46,"{'SI': '46', 'BOOK': '1 Corinthians', 'CHAPTERS': '16', 'VERSES': '437', 'WORDS': '9462', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
47,"{'SI': '47', 'BOOK': '2 Corinthians', 'CHAPTERS': '13', 'VERSES': '257', 'WORDS': '6046', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
48,"{'SI': '48', 'BOOK': 'Galatians', 'CHAPTERS': '6', 'VERSES': '149', 'WORDS': '3084', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
49,"{'SI': '49', 'BOOK': 'Ephesians', 'CHAPTERS': '6', 'VERSES': '155', 'WORDS': '3022', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
50,"{'SI': '50', 'BOOK': 'Philippians', 'CHAPTERS': '4', 'VERSES': '104', 'WORDS': '2183', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
51,"{'SI': '51', 'BOOK': 'Colossians', 'CHAPTERS': '4', 'VERSES': '95', 'WORDS': '1979', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
52,"{'SI': '52', 'BOOK': '1 Thessalonians', 'CHAPTERS': '5', 'VERSES': '89', 'WORDS': '1837', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
53,"{'SI': '53', 'BOOK': '2 Thessalonians', 'CHAPTERS': '3', 'VERSES': '47', 'WORDS': '1022', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
54,"{'SI': '54', 'BOOK': '1 Timothy', 'CHAPTERS': '6', 'VERSES': '113', 'WORDS': '2244', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
55,"{'SI': '55', 'BOOK': '2 Timothy', 'CHAPTERS': '4', 'VERSES': '83', 'WORDS': '1666', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
56,"{'SI': '56', 'BOOK': 'Titus', 'CHAPTERS': '3', 'VERSES': '46', 'WORDS': '896', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
57,"{'SI': '57', 'BOOK': 'Philemon', 'CHAPTERS': '1', 'VERSES': '25', 'WORDS': '430', 'AUTHOR': 'Paul', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
58,"{'SI': '58', 'BOOK': 'Hebrews', 'CHAPTERS': '13', 'VERSES': '303', 'WORDS': '6897', 'AUTHOR': 'Unknown', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
59,"{'SI': '59', 'BOOK': 'James', 'CHAPTERS': '5', 'VERSES': '108', 'WORDS': '2304', 'AUTHOR': 'James', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
60,"{'SI': '60', 'BOOK': '1 Peter', 'CHAPTERS': '5', 'VERSES': '105', 'WORDS': '2476', 'AUTHOR': 'Peter', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
61,"{'SI': '61', 'BOOK': '2 Peter', 'CHAPTERS': '3', 'VERSES': '61', 'WORDS': '1553', 'AUTHOR': 'Peter', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
62,"{'SI': '62', 'BOOK': '1 John', 'CHAPTERS': '5', 'VERSES': '105', 'WORDS': '2517', 'AUTHOR': 'John', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
63,"{'SI': '63', 'BOOK': '2 John', 'CHAPTERS': '1', 'VERSES': '13', 'WORDS': '298', 'AUTHOR': 'John', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
64,"{'SI': '64', 'BOOK': '3 John', 'CHAPTERS': '1', 'VERSES': '14', 'WORDS': '294', 'AUTHOR': 'John', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
65,"{'SI': '65', 'BOOK': 'Jude', 'CHAPTERS': '1', 'VERSES': '25', 'WORDS': '608', 'AUTHOR': 'Jude', 'GENRE': 'Letter', 'OT/NT': 'NT'}"
66,"{'SI': '66', 'BOOK': 'Revelation', 'CHAPTERS': '22', 'VERSES': '404', 'WORDS': '11952', 'AUTHOR': 'John', 'GENRE': 'Prophecy', 'OT/NT': 'NT'}"
